Date,Decreased?,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),% of recommended policies adopted
14/10/2020,1,,L,,,L,U,,U,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
15/10/2020,1,,L,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.25
16/10/2020,1,,L,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
17/10/2020,1,,L,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.25
18/10/2020,1,,L,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
19/10/2020,1,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
23/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.25
24/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.25
25/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
26/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
27/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
28/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
29/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
30/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
31/10/2020,0,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
1/11/2020,1,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
2/11/2020,1,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.2
3/11/2020,1,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.16666666666666666
4/11/2020,1,,,,,,U,,,LMatched,L,,,,,,,,,,,,,,0.25
24/12/2020,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
25/12/2020,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
26/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.14285714285714285
27/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
28/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
29/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
30/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.125
31/12/2020,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.125
1/1/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
2/1/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
15/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.5
18/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.25
19/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.16666666666666666
20/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.16666666666666666
21/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.16666666666666666
22/2/2021,0,U,,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.16666666666666666
23/2/2021,0,U,U,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.25
24/2/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.4
25/2/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.4
26/2/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.3333333333333333
27/2/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.3333333333333333
28/2/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.3333333333333333
1/3/2021,0,U,UMatched,U,,U,,,,U,U,,,,,,,,,LMatched,,,,,0.3333333333333333
2/3/2021,0,U,UMatched,U,UMatched,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.5
3/3/2021,0,U,U,U,U,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.3333333333333333
4/3/2021,0,U,UMatched,U,U,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.4
5/3/2021,0,U,UMatched,U,UMatched,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.42857142857142855
6/3/2021,0,U,UMatched,U,U,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.4
7/3/2021,0,U,UMatched,U,U,U,U,,,U,U,,,,,,,,L,LMatched,,,,,0.4
8/3/2021,0,U,UMatched,U,UMatched,,U,,,,,,,,,,,,L,LMatched,,,,,0.5
9/3/2021,0,U,U,U,U,,U,,,,,,,,,,,,L,LMatched,,,,,0.5
10/3/2021,0,U,U,U,U,,U,,,,,,,,,,,,L,LMatched,,,,,0.3333333333333333
11/3/2021,0,U,U,U,U,,U,,,,,,,,,,,,L,LMatched,,,,,0.25
12/3/2021,0,U,U,U,U,,U,,,,,,,,,,,,L,LMatched,,,,,0.25
13/3/2021,0,U,U,U,U,,U,,,,,,,,,,,,L,LMatched,,,,,0.25
16/3/2021,1,,UMatched,U,U,,U,,,,,,,,,,,,L,,,,,,0.2
18/3/2021,1,,UMatched,U,U,,U,,,,,,,,,,,,L,,,,,,0.2
20/3/2021,1,,UMatched,U,U,,U,,,,,,,,,,,,L,,,,,,0.3333333333333333
1/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.3333333333333333
2/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.2
4/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.5
5/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.5
6/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.5
7/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.5
8/5/2021,0,,,U,,,,,,,,,,,,,,,U,LMatched,,,,,0.3333333333333333
9/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.2
10/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
11/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
12/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
13/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
14/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
15/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
16/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
19/5/2021,0,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
20/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.25
21/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
22/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.25
23/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.2
24/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
25/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.2
26/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.2
27/5/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.2
20/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.25
21/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.14285714285714285
22/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
23/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.25
24/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.5
25/7/2021,1,,,,,,,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
26/7/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.5
27/7/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
28/7/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
29/7/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
30/7/2021,0,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
31/7/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.25
2/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.25
3/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.5
4/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
5/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
6/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
7/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
8/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.5
9/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
10/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
11/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.3333333333333333
12/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
13/8/2021,1,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.5
14/8/2021,0,,L,L,L,,L,,,,,,,,,,,,,LMatched,,,,,0.16666666666666666
16/8/2021,0,,L,L,L,,L,,,,,,,U,,U,,,,LMatched,,,,,0.2
17/8/2021,1,,L,L,L,,L,,,,,,,U,,U,,,,LMatched,,,,,0.5
